Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
0,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,1,0,1,0
0,1,0,0,0,0,0
0,1,1,0,1,0,0
1,1,1,1,1,1,0
1,1,1,0,1,0,0
1,1,1,0,1,1,0
0,0,0,0,1,0,0
1,0,1,0,0,0,0
0,0,1,1,1,0,0
1,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,1,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,0
1,1,1,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,1,0,0
1,1,1,1,0,1,0
0,1,1,0,0,1,0
0,1,0,0,0,0,0
1,0,0,1,0,0,0
1,1,1,1,1,1,1
0,1,1,0,0,0,0
1,1,1,0,1,1,1
0,0,0,1,0,0,0
1,1,1,0,1,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,1,1,0,1
1,1,1,0,0,1,0
0,1,1,1,0,1,1
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,1,1,1,1
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,1,1,1,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,0
1,1,0,1,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,1,1,0
1,1,1,0,0,1,1
1,0,0,1,1,0,0
1,1,1,0,0,1,0
1,1,1,0,1,1,0
1,1,1,0,1,0,0
0,1,1,0,0,0,0
1,1,1,0,1,0,0
0,1,1,0,0,0,0
1,0,1,0,0,1,0
0,1,1,1,0,1,1
1,0,0,0,0,0,0
1,1,0,1,0,1,0
0,1,1,0,1,0,0
0,0,1,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,0
1,1,0,1,0,1,0
1,1,1,1,0,1,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,0
1,1,1,0,1,1,0
1,1,1,1,1,0,0
1,1,1,1,0,1,0
1,1,1,1,1,1,0
0,0,1,0,0,0,0
1,1,1,0,1,1,0
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,0,1,0
1,0,0,0,1,0,0
0,1,1,0,0,1,0
1,1,1,0,1,1,1
0,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,0
0,1,1,0,1,0,0
1,1,1,1,1,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
1,0,1,0,0,0,0
1,1,1,1,1,1,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,1,0,0,0,0
0,1,1,1,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,1,1,1,1
1,0,1,0,0,0,0
1,1,1,1,1,1,0
0,1,1,0,1,0,0
1,1,1,0,1,0,1
1,1,1,1,0,1,0
1,1,1,1,0,0,0
1,1,0,0,1,1,0
1,1,1,1,0,1,0
1,0,1,0,0,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0
1,1,1,0,0,0,0
0,1,0,0,0,0,0
0,0,1,0,1,0,1
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,1,0
0,1,0,0,0,0,0
1,1,1,1,1,0,0
0,1,1,1,0,0,0
0,1,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,1,0,1,0,0
1,1,1,0,1,0,0
1,1,1,0,1,1,1
0,1,1,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,1,0
1,1,1,0,1,1,0
1,1,1,1,1,1,1
